20200066,Big Time Adolescence (2020),66,90,84,159
20200067,The Traitor (2020),67,145,83,237
20200068,Standing Up; Falling Down (2020),68,91,85,246
20200069,The Booksellers (2020),69,99,85,93
20200070,True History of the Kelly Gang (2020),70,124,78,195
20200071,Judy & Punch (2020),71,116,80,265
20200072,How to Build a Girl (2020),72,102,79,84
20200073,Once Were Brothers: Robbie Robertson and The Band (2020),73,102,81,99
20200074,Tigertail (2020),74,NULL,80,10
20200075,To the Stars (2020),75,111,80,240
20200076,VFW (2020),76,92,80,169
20200077,VHYes (2020),77,72,80,150
20200078,The Lodge (2020),78,108,74,331
20200079,The Banker (2020),79,NULL,77,132
20200080,Military Wives (2020),80,112,75,295
20200081,The Photograph (2020),81,106,74,336
20200082,Buffaloed (2020),82,95,77,349
20200083,Vivarium (2020),83,97,72,222
20200084,To All the Boys: P.S. I Still Love You (2020),84,101,75,256
20200085,The Wretched (2020),85,96,74,64
20200086,Extraction (2020),86,116,68,324
20200087,Trolls World Tour (2020),87,110,70,368
20200088,The Other Lamb (2020),88,97,72,233
20200089,The High Note (2020),89,113,70,274
20200090,Sonic the Hedgehog (2020),90,100,64,162
20200091,Lost Girls (2020),91,95,73,219
20200092,Horse Girl (2020),92,104,72,161
20200093,The Lovebirds (2020),93,NULL,66,258
20200094,Butt Boy (2020),94,100,70,363
20200095,We Summon the Darkness (2020),95,91,68,234
20200096,The Call of the Wild (2020),96,110,61,78
20200097,Olympic Dreams (2020),97,82,68,166
20200098,Human Capital (2020),98,97,67,235
20200099,Gretel & Hansel (2020),99,NULL,64,281
20200100,Troop Zero (2020),100,98,65,51
