movie_id,Title,Genre
20150002,Inside Out (2015),Kids & Family
20150003,Spotlight (2015),Drama
20150003,Spotlight (2015),Mystery & Suspense
20150004,Star Wars: Episode VII - The Force Awakens (2015),Action & Adventure
20150004,Star Wars: Episode VII - The Force Awakens (2015),Science Fiction & Fantasy
20150005,Brooklyn (2015),Drama
20150006,Creed (2015),Drama
20150007,Carol (2015),Drama
20150007,Carol (2015),Romance
20150008,The Martian (2015),Science Fiction & Fantasy
20150009,Mission: Impossible Rogue Nation (2015),Action & Adventure
20150010,Shaun the Sheep Movie (2015),Animation
20150010,Shaun the Sheep Movie (2015),Comedy
20150011,Room (2015),Drama
20150012,It Follows (2015),Horror
20150013,Spy (2015),Comedy
20150014,Son of Saul (2015),Drama
20150015,45 Years (2015),Drama
20150016,Amy (2015),Art House & International
20150016,Amy (2015),Musical & Performing Arts
20150016,Amy (2015),Documentary
20150016,Amy (2015),Special Interest
20150017,Paddington (2015),Comedy
20150017,Paddington (2015),Kids & Family
20150018,Bridge of Spies (2015),Drama
20150018,Bridge of Spies (2015),Mystery & Suspense
20150019,What We Do In The Shadows (2015),Comedy
20150019,What We Do In The Shadows (2015),Drama
20150020,Sicario (2015),Action & Adventure
20150020,Sicario (2015),Drama
20150020,Sicario (2015),Mystery & Suspense
20150021,Ex Machina (2015),Drama
20150021,Ex Machina (2015),Mystery & Suspense
20150021,Ex Machina (2015),Science Fiction & Fantasy
20150022,Mustang (2015),Drama
20150023,Phoenix (2015),Art House & International
20150023,Phoenix (2015),Drama
20150024,GETT: The Trial of Viviane Amsalem (2015),Art House & International
20150024,GETT: The Trial of Viviane Amsalem (2015),Drama
20150025,Anomalisa (2015),Animation
20150025,Anomalisa (2015),Comedy
20150025,Anomalisa (2015),Drama
20150026,Timbuktu (2015),Art House & International
20150026,Timbuktu (2015),Drama
20150027,Seymour: An Introduction (2015),Documentary
20150028,Tangerine (2015),Comedy
20150028,Tangerine (2015),Drama
20150029,Iris (2015),Documentary
20150030,3 And 1/2 Minutes; 10 Bullets (2015),Documentary
20150031,About Elly (2015),Art House & International
20150031,About Elly (2015),Drama
20150032,The Diary Of A Teenage Girl (2015),Drama
20150033,71 (2015),Action & Adventure
20150033,71 (2015),Drama
20150034,The Look of Silence (2015),Art House & International
20150034,The Look of Silence (2015),Documentary
20150035,The Big Short (2015),Drama
20150036,Kurt Cobain: Montage Of Heck (2015),Documentary
20150037,Hitchcock/Truffaut (2015),Documentary
20150038,The Second Mother (Que Horas Ela Volta?) (2015),Drama
20150039,Wild Tales (2015),Comedy
20150039,Wild Tales (2015),Drama
20150039,Wild Tales (2015),Mystery & Suspense
20150040,Jafar Panahi's Taxi (2015),Documentary
20150041,Ingrid Bergman in Her Own Words (Jag \xe4r Ingrid) (2015),Documentary
20150042,Court (2015),Drama
20150043,Listen To Me Marlon (2015),Documentary
20150044,Theeb (2015),Action & Adventure
20150044,Theeb (2015),Drama
20150045,The Gift (2015),Mystery & Suspense
20150046,Finders Keepers (2015),Documentary
20150047,Heart of a Dog (2015),Documentary
20150048,Sherpa (2015),Documentary
20150049,Appropriate Behavior (2015),Comedy
20150050,99 Homes (2015),Drama
20150050,99 Homes (2015),Mystery & Suspense
20150051,Girlhood (2015),Drama
20150052,Love & Mercy (2015),Drama
20150052,Love & Mercy (2015),Musical & Performing Arts
20150053,The Salt of the Earth (2015),Documentary
